NAMESPACE            NAME                                                READY   STATUS    RESTARTS   AGE
calico-system        calico-apiserver-866d56bcf4-bw7x9                   1/1     Running   0          4h1m
calico-system        calico-apiserver-866d56bcf4-d79bw                   1/1     Running   0          4h1m
calico-system        calico-kube-controllers-58644886d7-kncnb            1/1     Running   0          4h1m
calico-system        calico-node-gdh57                                   1/1     Running   0          4h1m
calico-system        calico-node-rtlzj                                   1/1     Running   0          4h1m
calico-system        calico-node-w6c7q                                   1/1     Running   0          4h1m
calico-system        calico-typha-69c6fdcbcd-8tflc                       1/1     Running   0          4h1m
calico-system        calico-typha-69c6fdcbcd-znx7c                       1/1     Running   0          4h1m
calico-system        csi-node-driver-6ch7g                               2/2     Running   0          4h1m
calico-system        csi-node-driver-c782n                               2/2     Running   0          4h1m
calico-system        csi-node-driver-vgmd2                               2/2     Running   0          4h1m
kube-system          coredns-589f44dc88-69hf6                            1/1     Running   0          4h22m
kube-system          coredns-589f44dc88-8lk4q                            1/1     Running   0          4h22m
kube-system          etcd-k8s-cni-lab-control-plane                      1/1     Running   0          4h23m
kube-system          kube-apiserver-k8s-cni-lab-control-plane            1/1     Running   0          4h23m
kube-system          kube-controller-manager-k8s-cni-lab-control-plane   1/1     Running   0          4h23m
kube-system          kube-proxy-cs564                                    1/1     Running   0          4h22m
kube-system          kube-proxy-hjjxl                                    1/1     Running   0          4h22m
kube-system          kube-proxy-wjnqr                                    1/1     Running   0          4h22m
kube-system          kube-scheduler-k8s-cni-lab-control-plane            1/1     Running   0          4h23m
local-path-storage   local-path-provisioner-855c7b7774-qsvx9             1/1     Running   0          4h22m
monitoring           alertmanager-kps-alertmanager-0                     2/2     Running   0          121m
monitoring           kps-grafana-6586c575f4-g7xdb                        3/3     Running   0          121m
monitoring           kps-kube-state-metrics-5498c6bd8d-r6hcl             1/1     Running   0          121m
monitoring           kps-operator-69dd5c6844-mqgzq                       1/1     Running   0          121m
monitoring           kps-prometheus-node-exporter-6jz94                  1/1     Running   0          121m
monitoring           kps-prometheus-node-exporter-mn8b9                  1/1     Running   0          121m
monitoring           kps-prometheus-node-exporter-t52fh                  1/1     Running   0          121m
monitoring           openebs-hostpath-exporter-5dd5w                     1/1     Running   0          6m13s
monitoring           openebs-hostpath-exporter-9vsc6                     1/1     Running   0          6m13s
monitoring           openebs-hostpath-exporter-crpf4                     1/1     Running   0          6m13s
monitoring           prometheus-kps-prometheus-0                         2/2     Running   0          121m
openebs              openebs-localpv-provisioner-68dc6dc684-mkqzk        1/1     Running   0          3h37m
storage-demo         ledger-0                                            1/1     Running   0          2m52s
tigera-operator      tigera-operator-57886bd678-bkm9k                    1/1     Running   0          4h2m
