NAMESPACE       NAME                              TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                         AGE
calico-system   calico-api                        ClusterIP   10.96.65.190    <none>        443/TCP                         4h1m
calico-system   calico-kube-controllers-metrics   ClusterIP   None            <none>        9094/TCP                        4h
calico-system   calico-typha                      ClusterIP   10.96.237.240   <none>        5473/TCP                        4h1m
default         kubernetes                        ClusterIP   10.96.0.1       <none>        443/TCP                         4h23m
kube-system     kps-coredns                       ClusterIP   None            <none>        9153/TCP                        121m
kube-system     kps-kube-controller-manager       ClusterIP   None            <none>        10257/TCP                       121m
kube-system     kps-kube-etcd                     ClusterIP   None            <none>        2381/TCP                        121m
kube-system     kps-kube-proxy                    ClusterIP   None            <none>        10249/TCP                       121m
kube-system     kps-kube-scheduler                ClusterIP   None            <none>        10259/TCP                       121m
kube-system     kps-kubelet                       ClusterIP   None            <none>        10250/TCP,4194/TCP,10255/TCP    121m
kube-system     kube-dns                          ClusterIP   10.96.0.10      <none>        53/UDP,53/TCP,9153/TCP          4h23m
monitoring      alertmanager-operated             ClusterIP   None            <none>        9093/TCP,9094/TCP,9094/UDP      121m
monitoring      kps-alertmanager                  ClusterIP   10.96.117.144   <none>        9093/TCP,8080/TCP               121m
monitoring      kps-grafana                       NodePort    10.96.181.79    <none>        80:30030/TCP                    121m
monitoring      kps-kube-state-metrics            ClusterIP   10.96.85.141    <none>        8080/TCP                        121m
monitoring      kps-operator                      ClusterIP   10.96.69.238    <none>        443/TCP                         121m
monitoring      kps-prometheus                    NodePort    10.96.130.100   <none>        9090:30090/TCP,8080:31324/TCP   121m
monitoring      kps-prometheus-node-exporter      ClusterIP   10.96.138.21    <none>        9100/TCP                        121m
monitoring      openebs-hostpath-exporter         ClusterIP   None            <none>        9101/TCP                        6m23s
monitoring      prometheus-operated               ClusterIP   None            <none>        9090/TCP                        121m
storage-demo    ledger                            ClusterIP   None            <none>        8080/TCP                        5m8s
